"","markov_cycle",".strategy_names","value_names","value","id"
"1.1",1,"I","cost",0,"1.1"
"1.2",2,"I","cost",2795.76977591452,"1.2"
"1.3",3,"I","cost",2694.17251810212,"1.3"
"1.4",4,"I","cost",2596.09960294521,"1.4"
"1.5",5,"I","cost",2501.45397624809,"1.5"
"1.6",6,"I","cost",2409.95452325112,"1.6"
"1.7",7,"I","cost",2321.65782817334,"1.7"
"1.8",8,"I","cost",2236.33617234543,"1.8"
"1.9",9,"I","cost",2153.99473722649,"1.9"
"1.10",10,"I","cost",2074.43034253705,"1.10"
"1.11",11,"I","cost",1997.64273628566,"1.11"
"1.12",12,"I","cost",1923.38115757104,"1.12"
"1.13",13,"I","cost",1851.6044279512,"1.13"
"1.14",14,"I","cost",1782.31231817807,"1.14"
"1.15",15,"I","cost",1715.3431041989,"1.15"
"1.16",16,"I","cost",1650.67159597693,"1.16"
"1.17",17,"I","cost",1588.06287631963,"1.17"
"1.18",18,"I","cost",1527.46228483537,"1.18"
"1.19",19,"I","cost",1468.88878110068,"1.19"
"1.20",20,"I","cost",1412.23793959963,"1.20"
"1.21",21,"I","cost",1357.36205663611,"1.21"
"1.22",22,"I","cost",1304.18846757379,"1.22"
"1.23",23,"I","cost",1252.62801493605,"1.23"
"1.24",24,"I","cost",1202.65768547561,"1.24"
"1.25",25,"I","cost",1154.09409422483,"1.25"
"1.26",26,"I","cost",1107.02328582303,"1.26"
"1.27",27,"I","cost",1061.25204151956,"1.27"
"1.28",28,"I","cost",1016.6914926134,"1.28"
"1.29",29,"I","cost",973.447557243721,"1.29"
"1.30",30,"I","cost",931.402074524841,"1.30"
"1.31",31,"I","cost",890.504537959692,"1.31"
"1.32",32,"I","cost",850.762316198009,"1.32"
"1.33",33,"I","cost",812.160065045744,"1.33"
"1.34",34,"I","cost",774.833496316348,"1.34"
"1.35",35,"I","cost",738.342870043277,"1.35"
"1.36",36,"I","cost",702.646294992275,"1.36"
"1.37",37,"I","cost",667.662025444048,"1.37"
"1.38",38,"I","cost",633.435905268932,"1.38"
"1.39",39,"I","cost",599.927303679165,"1.39"
"1.40",40,"I","cost",566.751237767268,"1.40"
"1.41",41,"I","cost",534.205723539105,"1.41"
"1.42",42,"I","cost",502.145142547071,"1.42"
"1.43",43,"I","cost",470.828331788198,"1.43"
"1.44",44,"I","cost",440.103589599377,"1.44"
"1.45",45,"I","cost",410.024029496073,"1.45"
"1.46",46,"I","cost",380.448984755269,"1.46"
"1.47",47,"I","cost",351.321853584145,"1.47"
"1.48",48,"I","cost",322.365673578434,"1.48"
"1.49",49,"I","cost",294.060164552157,"1.49"
"1.50",50,"I","cost",266.105785263478,"1.50"
"1.51",51,"I","cost",238.872855701382,"1.51"
"1.52",52,"I","cost",212.372972411351,"1.52"
"1.53",53,"I","cost",186.726034531259,"1.53"
"1.54",54,"I","cost",162.356250526012,"1.54"
"1.55",55,"I","cost",139.261868473711,"1.55"
